"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2023","77.30","75.65","77.69","75.19","22.23K","2.52%"
"11/08/2023","75.40","75.28","76.38","74.84","19.63K","0.05%"
"11/07/2023","75.36","75.71","76.50","74.86","21.35K","-0.69%"
"11/06/2023","75.88","77.48","77.48","75.60","18.33K","-1.71%"
"11/03/2023","77.20","78.61","79.70","77.10","19.75K","-2.35%"
"11/02/2023","79.06","78.35","79.20","76.24","34.24K","0.51%"
"11/01/2023","78.66","79.40","80.16","78.37","19.68K","-0.94%"
"10/31/2023","79.41","78.65","79.50","78.15","21.72K","0.80%"
"10/30/2023","78.78","79.45","80.98","78.48","24.81K","-0.73%"
"10/27/2023","79.36","79.64","80.36","79.30","15.86K","-0.28%"
"10/26/2023","79.58","79.94","80.71","79.49","18.95K","-0.44%"
"10/25/2023","79.93","80.74","80.98","79.75","18.43K","-0.91%"
"10/24/2023","80.66","80.26","81.34","80.21","17.18K","0.45%"
"10/23/2023","80.30","81.39","81.50","80.06","17.53K","-1.68%"
"10/20/2023","81.67","81.98","82.50","81.05","15.05K","-0.40%"
"10/19/2023","82.00","81.70","82.24","80.84","17.07K","0.26%"
"10/18/2023","81.79","82.61","83.35","81.52","15.86K","-1.04%"
"10/17/2023","82.65","83.29","83.66","81.45","16.43K","-0.91%"
"10/16/2023","83.41","85.58","85.93","82.99","18.29K","-2.63%"
"10/13/2023","85.66","85.23","86.60","84.73","22.82K","0.25%"
"10/12/2023","85.45","83.78","85.69","83.50","16.72K","1.99%"
"10/11/2023","83.78","84.68","85.03","83.50","21.43K","-1.13%"
"10/10/2023","84.74","81.87","85.06","81.60","26.15K","3.81%"
"10/09/2023","81.63","80.65","81.96","80.00","16.51K","1.25%"
"10/06/2023","80.62","80.85","81.15","80.00","12.05K","-0.30%"
"10/05/2023","80.86","81.85","82.37","80.30","15.01K","-1.17%"
"10/04/2023","81.82","79.87","82.39","79.56","20.90K","2.53%"
"10/03/2023","79.80","80.70","80.91","79.52","23.91K","-1.12%"
"10/02/2023","80.70","81.42","81.66","80.62","14.76K","-0.92%"
"09/29/2023","81.45","83.00","83.24","81.42","11.38K","-2.00%"
"09/28/2023","83.11","81.83","83.24","81.82","11.32K","1.53%"
"09/27/2023","81.86","83.00","83.05","81.61","14.84K","-0.79%"
"09/26/2023","82.51","84.99","85.13","82.51","16.30K","-2.80%"
"09/25/2023","84.89","85.95","85.95","84.77","14.09K","-0.48%"
"09/22/2023","85.30","83.94","86.05","83.65","18.47K","1.03%"
"09/21/2023","84.43","82.70","84.61","81.70","16.17K","2.02%"
"09/20/2023","82.76","81.60","82.97","80.51","18.19K","1.80%"
"09/19/2023","81.30","80.97","81.69","80.55","12.94K","0.52%"
"09/18/2023","80.88","82.18","82.65","80.74","16.52K","-1.49%"
"09/15/2023","82.10","82.88","84.09","81.86","14.31K","-1.00%"
"09/14/2023","82.93","83.71","84.07","82.45","14.48K","-0.99%"
"09/13/2023","83.76","81.25","83.83","80.57","22.49K","3.25%"
"09/12/2023","81.12","81.85","82.41","80.98","17.50K","-0.75%"
"09/11/2023","81.73","81.79","82.51","81.36","13.80K","0.13%"
"09/08/2023","81.62","83.52","84.00","81.28","17.11K","-2.01%"
"09/07/2023","83.29","83.67","84.28","82.67","16.85K","-0.49%"
"09/06/2023","83.70","83.95","84.81","83.11","15.69K","-0.25%"
"09/05/2023","83.91","84.18","84.81","83.60","16.54K","-0.20%"
"09/04/2023","84.08","85.63","85.63","83.75","13.97K","-1.82%"
"09/01/2023","85.64","86.03","86.32","85.00","11.95K","-0.45%"
"08/31/2023","86.03","86.10","87.28","85.58","11.31K","0.03%"
"08/30/2023","86.00","84.91","86.63","84.64","13.34K","1.18%"
"08/29/2023","85.00","85.72","86.49","84.52","12.48K","-0.70%"
"08/28/2023","85.60","85.40","86.50","84.79","8.13K","0.41%"
"08/25/2023","85.25","85.06","86.42","84.50","13.46K","0.05%"
"08/24/2023","85.21","87.35","87.35","85.10","18.77K","-3.17%"
"08/23/2023","88.00","89.96","90.23","87.35","19.87K","-2.23%"
"08/22/2023","90.01","87.85","90.39","87.76","19.57K","2.46%"
"08/21/2023","87.85","88.62","88.70","86.86","11.65K","-0.23%"
"08/18/2023","88.05","88.68","89.09","87.27","12.86K","-0.90%"
"08/17/2023","88.85","88.60","89.87","87.70","15.80K","0.30%"
"08/16/2023","88.58","87.64","88.89","87.35","15.60K","1.97%"
"08/15/2023","86.87","88.23","88.60","86.70","13.02K","-1.23%"
"08/14/2023","87.95","86.57","88.13","86.00","13.26K","1.32%"
"08/11/2023","86.80","84.90","86.92","84.00","10.94K","2.66%"
"08/10/2023","84.55","84.24","85.21","83.03","12.82K","0.77%"
"08/09/2023","83.90","84.34","85.82","83.50","17.02K","-0.08%"
"08/08/2023","83.97","82.70","84.47","82.31","14.58K","1.61%"
"08/07/2023","82.64","83.55","84.56","82.56","13.37K","-0.92%"
"08/04/2023","83.41","84.99","85.63","83.30","11.73K","-1.18%"
"08/03/2023","84.41","83.23","85.80","83.10","16.35K","1.45%"
"08/02/2023","83.20","84.65","84.99","83.01","21.26K","-1.68%"
"08/01/2023","84.62","86.85","87.83","84.40","22.39K","-2.52%"
"07/31/2023","86.81","88.34","89.42","86.37","15.97K","-2.13%"
"07/28/2023","88.70","90.92","90.92","88.16","16.24K","-2.44%"
"07/27/2023","90.92","90.79","91.28","89.23","15.51K","0.17%"
"07/26/2023","90.77","92.32","93.50","90.34","16.55K","-1.70%"
"07/25/2023","92.34","91.25","92.52","91.14","14.27K","1.15%"
"07/24/2023","91.29","91.82","92.59","90.53","14.37K","-0.58%"
"07/21/2023","91.82","90.80","92.30","90.33","14.12K","1.08%"
"07/20/2023","90.84","88.95","91.24","88.75","17.57K","2.09%"
"07/19/2023","88.98","88.10","89.40","87.05","15.48K","0.91%"
"07/18/2023","88.18","86.78","88.32","86.25","14.99K","1.61%"
"07/17/2023","86.78","85.93","86.81","85.18","12.73K","0.50%"
"07/14/2023","86.35","85.82","87.65","85.82","10.62K","0.55%"
"07/13/2023","85.88","85.86","86.96","85.32","11.32K","0.06%"
"07/12/2023","85.83","87.03","88.32","85.68","15.76K","-1.40%"
"07/11/2023","87.05","86.34","87.22","85.11","15.21K","0.92%"
"07/10/2023","86.26","86.16","87.17","85.48","12.70K","0.13%"
"07/07/2023","86.15","86.05","87.85","85.83","12.12K","-0.16%"
"07/06/2023","86.29","85.70","86.45","85.33","14.12K","0.56%"
"07/05/2023","85.81","87.06","87.32","85.71","15.08K","-2.14%"
"07/04/2023","87.69","87.41","88.10","86.68","10.26K","0.13%"
"07/03/2023","87.58","89.12","89.83","87.18","13.06K","-2.22%"
"06/30/2023","89.57","88.10","89.61","87.11","12.88K","1.63%"
"06/29/2023","88.13","87.34","88.82","87.24","12.33K","-0.09%"
"06/28/2023","88.21","89.67","89.70","86.98","13.96K","-0.99%"
"06/27/2023","89.09","86.49","89.17","85.80","14.66K","3.01%"
"06/26/2023","86.49","87.69","89.65","85.89","16.58K","-1.21%"
"06/23/2023","87.55","90.90","90.90","87.55","14.05K","-3.74%"
"06/22/2023","90.95","90.20","91.20","88.33","18.31K","0.11%"
"06/21/2023","90.85","94.41","95.40","90.39","27.35K","-3.87%"
"06/20/2023","94.51","93.09","96.00","92.85","23.51K","1.37%"
"06/19/2023","93.23","91.70","93.65","90.30","15.15K","1.43%"
"06/16/2023","91.92","92.92","93.18","90.50","19.81K","-1.09%"
"06/15/2023","92.93","93.51","95.18","91.51","29.19K","-0.74%"
"06/14/2023","93.62","90.46","93.99","89.91","28.12K","3.20%"
"06/13/2023","90.72","88.00","91.03","86.91","30.35K","2.83%"
"06/12/2023","88.22","86.75","88.46","84.88","17.45K","2.41%"
"06/09/2023","86.14","83.75","87.30","83.50","17.41K","3.35%"
"06/08/2023","83.35","83.99","84.95","82.63","15.10K","-0.61%"
"06/07/2023","83.86","81.64","84.19","80.10","18.61K","2.72%"
"06/06/2023","81.64","83.00","83.48","80.28","17.91K","-1.47%"
"06/05/2023","82.86","79.05","83.25","78.01","23.97K","5.53%"
"06/02/2023","78.52","78.95","80.47","78.52","15.52K","-0.54%"
"06/01/2023","78.95","80.78","81.10","78.47","22.48K","-2.25%"
"05/31/2023","80.77","80.45","81.97","79.32","21.92K","0.49%"
"05/30/2023","80.38","83.05","83.34","80.36","24.55K","-3.16%"
"05/29/2023","83.00","83.01","84.46","82.67","4.74K","-0.16%"
"05/26/2023","83.13","82.75","83.37","81.94","14.76K","0.61%"
"05/25/2023","82.63","85.03","85.15","82.63","20.74K","-2.55%"
"05/24/2023","84.79","85.81","86.26","84.55","13.80K","-1.18%"
"05/23/2023","85.80","87.40","87.72","85.36","16.12K","-1.66%"
"05/22/2023","87.25","89.43","89.71","86.77","15.35K","-2.44%"
"05/19/2023","89.43","89.66","91.24","89.33","12.79K","-0.25%"
"05/18/2023","89.65","88.49","90.21","87.92","9.13K","1.83%"
"05/17/2023","88.04","88.77","89.75","87.55","11.44K","-1.00%"
"05/16/2023","88.93","87.14","89.20","86.66","13.11K","2.05%"
"05/15/2023","87.14","88.50","89.19","86.13","15.99K","-2.01%"
"05/12/2023","88.93","88.54","89.67","88.14","9.38K","0.41%"
"05/11/2023","88.57","89.22","90.12","87.68","16.42K","-0.55%"
"05/10/2023","89.06","87.69","89.75","87.20","16.36K","1.77%"
"05/09/2023","87.51","85.57","87.75","85.20","14.24K","2.24%"
"05/08/2023","85.59","85.00","85.99","84.50","6.33K","0.74%"
"05/05/2023","84.96","84.66","86.90","84.30","12.00K","0.54%"
"05/04/2023","84.50","85.29","85.71","83.25","17.53K","-0.76%"
"05/03/2023","85.15","89.00","89.35","84.00","24.91K","-3.81%"
"05/02/2023","88.52","85.66","90.82","85.42","21.01K","3.37%"
"05/01/2023","85.63","87.39","88.36","85.50","4.52K","-2.30%"
"04/28/2023","87.65","86.49","88.11","86.13","11.92K","1.12%"
"04/27/2023","86.68","85.94","87.90","85.40","18.54K","0.51%"
"04/26/2023","86.24","86.90","87.00","85.16","19.49K","-0.66%"
"04/25/2023","86.81","88.58","88.91","86.53","20.94K","-1.98%"
"04/24/2023","88.56","90.11","90.11","87.59","17.79K","-1.45%"
"04/21/2023","89.86","91.95","92.41","89.25","16.35K","-2.05%"
"04/20/2023","91.74","94.45","94.66","91.18","18.42K","-2.81%"
"04/19/2023","94.39","95.30","96.47","94.18","12.80K","-0.80%"
"04/18/2023","95.15","92.98","95.60","92.33","14.37K","2.41%"
"04/17/2023","92.91","94.14","94.75","92.16","11.40K","-1.28%"
"04/14/2023","94.11","94.39","94.99","93.16","11.55K","-0.30%"
"04/13/2023","94.39","96.15","96.50","93.10","14.93K","-1.95%"
"04/12/2023","96.27","97.53","98.21","95.09","16.89K","-1.23%"
"04/11/2023","97.47","96.75","98.43","96.72","12.46K","0.74%"
"04/06/2023","96.75","97.00","97.90","96.00","","-0.27%"
"04/05/2023","97.01","94.97","98.00","94.78","17.83K","2.14%"
"04/04/2023","94.98","96.00","97.35","94.63","15.77K","-1.06%"
"04/03/2023","96.00","91.75","96.16","91.69","15.34K","4.63%"
"03/31/2023","91.75","90.93","92.89","90.71","14.19K","1.05%"
"03/30/2023","90.80","90.43","91.76","89.55","15.57K","0.87%"
"03/29/2023","90.02","89.47","91.10","89.33","12.36K","0.69%"
"03/28/2023","89.40","87.62","90.56","87.62","15.63K","1.44%"
"03/27/2023","88.13","88.02","89.19","86.73","13.64K","3.20%"
"03/24/2023","85.40","89.96","91.02","84.18","1.11K","-5.30%"
