"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"21.04.2022 17:00 - 21.04.2022 18:00","362","392","504","238","155","213","1183","981","1164"
"21.04.2022 18:00 - 21.04.2022 19:00","238","285","316","379","214","194","1108","895","1174"
"21.04.2022 19:00 - 21.04.2022 20:00","139","164","156","466","355","168","997","812","974"
"21.04.2022 20:00 - 21.04.2022 21:00","54","54","34","593","577","279","943","816","742"
"21.04.2022 21:00 - 21.04.2022 22:00","0","0","0","597","598","252","981","862","826"
"21.04.2022 22:00 - 21.04.2022 23:00","0","0","0","624","574","386","1035","932","988"
"21.04.2022 23:00 - 22.04.2022 00:00","0","0","0","599","613","498","1065","960","1033"
"22.04.2022 00:00 - 22.04.2022 01:00","0","N/A","0","633","N/A","496","1084","N/A","1097"
"22.04.2022 01:00 - 22.04.2022 02:00","0","N/A","0","680","N/A","435","1031","N/A","1038"
"22.04.2022 02:00 - 22.04.2022 03:00","0","N/A","0","568","N/A","418","1039","N/A","893"
"22.04.2022 03:00 - 22.04.2022 04:00","0","N/A","0","533","N/A","391","1063","N/A","873"
"22.04.2022 04:00 - 22.04.2022 05:00","0","N/A","0","564","N/A","460","1109","N/A","943"
"22.04.2022 05:00 - 22.04.2022 06:00","0","N/A","0","689","N/A","486","1099","N/A","939"
"22.04.2022 06:00 - 22.04.2022 07:00","77","N/A","75","756","N/A","522","1182","N/A","1084"
"22.04.2022 07:00 - 22.04.2022 08:00","182","N/A","185","805","N/A","680","1246","N/A","1044"
"22.04.2022 08:00 - 22.04.2022 09:00","299","311","311","818","888","897","1313","1209","1138"
"22.04.2022 09:00 - 22.04.2022 10:00","419","423","500","767","791","712","1313","1459","1323"
"22.04.2022 10:00 - 22.04.2022 11:00","518","521","754","723","690","619","1328","1374","1647"
"22.04.2022 11:00 - 22.04.2022 12:00","575","578","889","709","643","605","1357","1294","1763"
"22.04.2022 12:00 - 22.04.2022 13:00","605","613","946","656","618","697","1379","1221","2153"
"22.04.2022 13:00 - 22.04.2022 14:00","597","622","951","556","535","492","1462","1240","2051"
"22.04.2022 14:00 - 22.04.2022 15:00","531","570","902","407","397","400","1538","1221","1801"
"22.04.2022 15:00 - 22.04.2022 16:00","468","541","872","357","311","388","1614","1272","1640"
"22.04.2022 16:00 - 22.04.2022 17:00","395","499","722","340","289","304","1475","1195","1375"
"22.04.2022 17:00 - 22.04.2022 18:00","313","393","488","448","337","319","1560","1187","1322"
"22.04.2022 18:00 - 22.04.2022 19:00","212","292","317","613","413","344","1483","1101","1252"
"22.04.2022 19:00 - 22.04.2022 20:00","128","172","158","660","459","486","1321","1007","1131"
"22.04.2022 20:00 - 22.04.2022 21:00","48","45","28","679","563","643","1177","977","1068"
"22.04.2022 21:00 - 22.04.2022 22:00","0","0","0","642","605","550","1030","926","1052"
"22.04.2022 22:00 - 22.04.2022 23:00","0","0","0","571","581","617","918","884","1077"
"22.04.2022 23:00 - 23.04.2022 00:00","0","0","0","475","513","657","828","827","1056"
"23.04.2022 00:00 - 23.04.2022 01:00","0","N/A","0","446","N/A","632","795","N/A","956"
"23.04.2022 01:00 - 23.04.2022 02:00","0","N/A","0","393","N/A","392","668","N/A","786"
"23.04.2022 02:00 - 23.04.2022 03:00","0","N/A","0","407","N/A","449","625","N/A","596"
"23.04.2022 03:00 - 23.04.2022 04:00","0","N/A","0","412","N/A","436","598","N/A","537"
"23.04.2022 04:00 - 23.04.2022 05:00","0","N/A","0","494","N/A","499","591","N/A","541"
"23.04.2022 05:00 - 23.04.2022 06:00","0","N/A","0","565","N/A","604","621","N/A","598"
"23.04.2022 06:00 - 23.04.2022 07:00","63","N/A","63","630","N/A","697","761","N/A","863"
"23.04.2022 07:00 - 23.04.2022 08:00","158","N/A","153","689","N/A","764","843","N/A","902"
"23.04.2022 08:00 - 23.04.2022 09:00","247","240","240","671","760","756","875","895","895"
"23.04.2022 09:00 - 23.04.2022 10:00","367","381","492","565","677","652","861","860","993"
"23.04.2022 10:00 - 23.04.2022 11:00","462","492","758","435","554","475","907","851","1165"
"23.04.2022 11:00 - 23.04.2022 12:00","515","565","907","351","440","442","976","891","1434"
"23.04.2022 12:00 - 23.04.2022 13:00","535","620","972","327","415","410","1035","973","1751"
"23.04.2022 13:00 - 23.04.2022 14:00","552","621","957","314","443","441","1159","1174","1997"
"23.04.2022 14:00 - 23.04.2022 15:00","540","575","903","411","407","320","1265","1294","2075"
"23.04.2022 15:00 - 23.04.2022 16:00","514","559","868","491","439","346","1354","1475","2184"
"23.04.2022 16:00 - 23.04.2022 17:00","443","508","709","615","614","609","1296","1467","2112"
"23.04.2022 17:00 - 23.04.2022 18:00","337","392","503","645","731","764","1389","1488","2043"
"23.04.2022 18:00 - 23.04.2022 19:00","239","300","320","668","717","725","1352","1365","1793"
"23.04.2022 19:00 - 23.04.2022 20:00","148","178","166","665","759","739","1260","1231","1595"
"23.04.2022 20:00 - 23.04.2022 21:00","50","53","32","697","809","731","1210","1204","1291"
"23.04.2022 21:00 - 23.04.2022 22:00","0","0","0","707","785","658","1160","1179","1118"
"23.04.2022 22:00 - 23.04.2022 23:00","0","0","0","674","718","821","1188","1218","1194"
"23.04.2022 23:00 - 24.04.2022 00:00","0","0","0","677","677","822","1253","1272","1305"
"24.04.2022 00:00 - 24.04.2022 01:00","0","N/A","0","703","N/A","730","1298","N/A","1342"
"24.04.2022 01:00 - 24.04.2022 02:00","0","N/A","0","766","N/A","704","1307","N/A","1345"
"24.04.2022 02:00 - 24.04.2022 03:00","0","N/A","0","692","N/A","657","1314","N/A","1299"
"24.04.2022 03:00 - 24.04.2022 04:00","0","N/A","0","783","N/A","639","1325","N/A","1370"
"24.04.2022 04:00 - 24.04.2022 05:00","0","N/A","0","874","N/A","737","1319","N/A","1392"
"24.04.2022 05:00 - 24.04.2022 06:00","0","N/A","0","903","N/A","645","1250","N/A","1275"
"24.04.2022 06:00 - 24.04.2022 07:00","29","N/A","35","885","N/A","472","1271","N/A","1462"
"24.04.2022 07:00 - 24.04.2022 08:00","102","N/A","114","840","N/A","651","1300","N/A","1384"
"24.04.2022 08:00 - 24.04.2022 09:00","117","162","162","775","725","741","1383","1493","1493"
"24.04.2022 09:00 - 24.04.2022 10:00","175","228","330","704","707","745","1357","1446","1599"
"24.04.2022 10:00 - 24.04.2022 11:00","240","324","640","658","711","797","1417","1429","1604"
"24.04.2022 11:00 - 24.04.2022 12:00","263","389","724","602","686","716","1483","1444","1643"
"24.04.2022 12:00 - 24.04.2022 13:00","292","426","824","609","654","703","1545","1493","1693"
"24.04.2022 13:00 - 24.04.2022 14:00","353","420","849","622","640","586","1659","1608","1979"
"24.04.2022 14:00 - 24.04.2022 15:00","406","381","770","646","644","593","1729","1601","1914"
"24.04.2022 15:00 - 24.04.2022 16:00","428","366","660","628","689","678","1787","1651","1988"
"24.04.2022 16:00 - 24.04.2022 17:00","385","357","501","547","659","534","1604","1525","1362"
"24.04.2022 17:00 - 24.04.2022 18:00","292","304","374","573","545","430","1651","1461","1752"
"24.04.2022 18:00 - 24.04.2022 19:00","208","244","225","578","590","546","1548","1272","1646"
"24.04.2022 19:00 - 24.04.2022 20:00","136","150","124","566","578","640","1387","1140","1322"
"24.04.2022 20:00 - 24.04.2022 21:00","48","48","49","591","610","747","1232","1104","1194"
"24.04.2022 21:00 - 24.04.2022 22:00","0","0","0","603","687","629","1067","1022","1043"
"24.04.2022 22:00 - 24.04.2022 23:00","0","0","0","622","717","486","958","968","1211"
"24.04.2022 23:00 - 25.04.2022 00:00","0","0","0","635","729","488","859","906","1181"
"25.04.2022 00:00 - 25.04.2022 01:00","0","N/A","0","625","N/A","615","892","N/A","966"
"25.04.2022 01:00 - 25.04.2022 02:00","0","N/A","0","547","N/A","672","748","N/A","835"
"25.04.2022 02:00 - 25.04.2022 03:00","0","N/A","0","523","N/A","613","671","N/A","678"
"25.04.2022 03:00 - 25.04.2022 04:00","0","N/A","0","467","N/A","550","605","N/A","603"
"25.04.2022 04:00 - 25.04.2022 05:00","0","N/A","0","439","N/A","426","535","N/A","623"
"25.04.2022 05:00 - 25.04.2022 06:00","0","N/A","0","448","N/A","422","427","N/A","559"
"25.04.2022 06:00 - 25.04.2022 07:00","95","N/A","89","412","N/A","329","375","N/A","534"
"25.04.2022 07:00 - 25.04.2022 08:00","202","N/A","203","383","N/A","356","311","N/A","374"
"25.04.2022 08:00 - 25.04.2022 09:00","324","324","324","377","354","346","255","224","224"
"25.04.2022 09:00 - 25.04.2022 10:00","455","429","493","300","297","221","248","186","245"
"25.04.2022 10:00 - 25.04.2022 11:00","543","522","743","256","198","105","268","171","356"
"25.04.2022 11:00 - 25.04.2022 12:00","581","581","822","205","180","122","275","168","436"
"25.04.2022 12:00 - 25.04.2022 13:00","604","601","831","213","166","156","267","167","365"
"25.04.2022 13:00 - 25.04.2022 14:00","602","596","832","261","223","220","310","206","309"
"25.04.2022 14:00 - 25.04.2022 15:00","589","569","806","341","282","286","379","254","269"
"25.04.2022 15:00 - 25.04.2022 16:00","575","542","750","402","331","328","471","319","253"
"25.04.2022 16:00 - 25.04.2022 17:00","514","481","639","499","432","334","501","332","300"
"25.04.2022 17:00 - 25.04.2022 18:00","382","395","568","536","502","303","530","349","262"
"25.04.2022 18:00 - 25.04.2022 19:00","241","289","301","492","442","274","475","325","296"
"25.04.2022 19:00 - 25.04.2022 20:00","146","168","168","398","355","261","394","274","291"
"25.04.2022 20:00 - 25.04.2022 21:00","76","78","51","360","322","216","333","231","240"
"25.04.2022 21:00 - 25.04.2022 22:00","0","0","0","345","315","281","289","199","193"
"25.04.2022 22:00 - 25.04.2022 23:00","0","0","0","333","285","274","280","192","214"
"25.04.2022 23:00 - 26.04.2022 00:00","0","0","0","330","297","246","271","183","202"
"26.04.2022 00:00 - 26.04.2022 01:00","0","N/A","0","134","N/A","164","179","N/A","177"
"26.04.2022 01:00 - 26.04.2022 02:00","0","N/A","0","85","N/A","167","166","N/A","159"
"26.04.2022 02:00 - 26.04.2022 03:00","0","N/A","0","47","N/A","125","154","N/A","156"
"26.04.2022 03:00 - 26.04.2022 04:00","0","N/A","0","48","N/A","143","157","N/A","168"
"26.04.2022 04:00 - 26.04.2022 05:00","0","N/A","0","91","N/A","87","189","N/A","185"
"26.04.2022 05:00 - 26.04.2022 06:00","0","N/A","0","117","N/A","80","200","N/A","161"
"26.04.2022 06:00 - 26.04.2022 07:00","61","N/A","60","122","N/A","83","192","N/A","145"
"26.04.2022 07:00 - 26.04.2022 08:00","130","N/A","136","117","N/A","120","171","N/A","105"
"26.04.2022 08:00 - 26.04.2022 09:00","213","218","218","135","87","87","148","134","134"
"26.04.2022 09:00 - 26.04.2022 10:00","347","346","307","117","88","77","121","129","103"
"26.04.2022 10:00 - 26.04.2022 11:00","467","470","420","95","85","52","132","120","127"
"26.04.2022 11:00 - 26.04.2022 12:00","550","561","510","73","84","102","141","121","81"
"26.04.2022 12:00 - 26.04.2022 13:00","613","623","542","55","40","71","154","124","81"
"26.04.2022 13:00 - 26.04.2022 14:00","610","628","585","49","24","60","192","155","105"
"26.04.2022 14:00 - 26.04.2022 15:00","561","597","543","55","21","40","243","201","128"
"26.04.2022 15:00 - 26.04.2022 16:00","526","562","574","64","25","47","325","259","125"
"26.04.2022 16:00 - 26.04.2022 17:00","417","473","536","77","22","43","405","292","137"
"26.04.2022 17:00 - 26.04.2022 18:00","302","365","367","50","22","41","488","340","156"
"26.04.2022 18:00 - 26.04.2022 19:00","221","272","239","41","28","15","527","345","175"
"26.04.2022 19:00 - 26.04.2022 20:00","139","165","148","64","47","12","513","342","148"
"26.04.2022 20:00 - 26.04.2022 21:00","67","70","49","119","54","20","464","336","144"
"26.04.2022 21:00 - 26.04.2022 22:00","0","0","0","105","54","18","403","316","132"
"26.04.2022 22:00 - 26.04.2022 23:00","0","0","0","102","63","37","384","322","114"
"26.04.2022 23:00 - 27.04.2022 00:00","0","0","0","154","83","29","390","351","132"
"27.04.2022 00:00 - 27.04.2022 01:00","0","N/A","0","51","N/A","42","200","N/A","134"
"27.04.2022 01:00 - 27.04.2022 02:00","0","N/A","0","45","N/A","115","214","N/A","150"
"27.04.2022 02:00 - 27.04.2022 03:00","0","N/A","0","39","N/A","89","221","N/A","160"
"27.04.2022 03:00 - 27.04.2022 04:00","0","N/A","0","51","N/A","86","228","N/A","175"
"27.04.2022 04:00 - 27.04.2022 05:00","0","N/A","0","58","N/A","88","235","N/A","190"
"27.04.2022 05:00 - 27.04.2022 06:00","1","N/A","1","50","N/A","72","225","N/A","186"
"27.04.2022 06:00 - 27.04.2022 07:00","106","N/A","110","46","N/A","128","216","N/A","168"
"27.04.2022 07:00 - 27.04.2022 08:00","210","N/A","203","46","N/A","136","183","N/A","127"
"27.04.2022 08:00 - 27.04.2022 09:00","321","325","325","40","139","145","133","83","83"
"27.04.2022 09:00 - 27.04.2022 10:00","441","462","505","27","119","160","89","73","41"
"27.04.2022 10:00 - 27.04.2022 11:00","538","569","703","28","95","97","76","72","57"
"27.04.2022 11:00 - 27.04.2022 12:00","592","615","824","18","73","55","85","78","81"
"27.04.2022 12:00 - 27.04.2022 13:00","601","627","816","15","64","61","97","100","106"
"27.04.2022 13:00 - 27.04.2022 14:00","570","604","798","16","56","46","134","154","174"
"27.04.2022 14:00 - 27.04.2022 15:00","488","545","781","22","53","36","191","214","258"
"27.04.2022 15:00 - 27.04.2022 16:00","429","492","731","35","58","50","248","279","331"
"27.04.2022 16:00 - 27.04.2022 17:00","356","410","611","47","70","84","254","300","378"
"27.04.2022 17:00 - 27.04.2022 18:00","286","342","446","67","133","113","258","312","432"
"27.04.2022 18:00 - 27.04.2022 19:00","211","260","268","86","177","144","220","287","487"
"27.04.2022 19:00 - 27.04.2022 20:00","135","160","140","103","169","189","180","249","497"
"27.04.2022 20:00 - 27.04.2022 21:00","65","68","49","148","180","188","155","218","358"
"27.04.2022 21:00 - 27.04.2022 22:00","0","0","0","167","166","243","145","199","235"
"27.04.2022 22:00 - 27.04.2022 23:00","0","0","0","194","208","283","151","196","274"
"27.04.2022 23:00 - 28.04.2022 00:00","0","0","0","205","235","253","163","199","247"
"28.04.2022 00:00 - 28.04.2022 01:00","0","N/A","0","186","N/A","238","326","N/A","251"
"28.04.2022 01:00 - 28.04.2022 02:00","0","N/A","0","183","N/A","231","350","N/A","350"
"28.04.2022 02:00 - 28.04.2022 03:00","0","N/A","0","229","N/A","204","410","N/A","424"
"28.04.2022 03:00 - 28.04.2022 04:00","0","N/A","0","294","N/A","259","482","N/A","554"
"28.04.2022 04:00 - 28.04.2022 05:00","0","N/A","0","416","N/A","296","543","N/A","688"
"28.04.2022 05:00 - 28.04.2022 06:00","3","N/A","3","481","N/A","350","518","N/A","665"
"28.04.2022 06:00 - 28.04.2022 07:00","153","N/A","147","566","N/A","415","526","N/A","710"
"28.04.2022 07:00 - 28.04.2022 08:00","251","N/A","253","632","N/A","440","541","N/A","588"
"28.04.2022 08:00 - 28.04.2022 09:00","375","319","319","675","447","454","559","506","506"
"28.04.2022 09:00 - 28.04.2022 10:00","528","492","550","596","433","428","594","542","619"
"28.04.2022 10:00 - 28.04.2022 11:00","640","628","776","555","403","403","632","583","568"
"28.04.2022 11:00 - 28.04.2022 12:00","695","690","914","540","405","362","609","591","563"
"28.04.2022 12:00 - 28.04.2022 13:00","727","723","975","474","365","353","590","605","528"
"28.04.2022 13:00 - 28.04.2022 14:00","721","720","968","432","354","364","632","669","666"
"28.04.2022 14:00 - 28.04.2022 15:00","695","690","921","386","361","329","685","726","727"
"28.04.2022 15:00 - 28.04.2022 16:00","657","651","888","413","428","422","781","866","924"
"28.04.2022 16:00 - 28.04.2022 17:00","570","576","767","376","397","401","801","938","1021"
"28.04.2022 17:00 - 28.04.2022 18:00","404","431","574","423","405","380","911","1022","1031"
"28.04.2022 18:00 - 28.04.2022 19:00","244","281","345","478","474","354","955","1018","912"
"28.04.2022 19:00 - 28.04.2022 20:00","136","157","132","497","514","365","939","970","917"
"28.04.2022 20:00 - 28.04.2022 21:00","64","65","8","508","542","412","872","911","829"
"28.04.2022 21:00 - 28.04.2022 22:00","1","1","2","496","590","469","733","819","722"
"28.04.2022 22:00 - 28.04.2022 23:00","0","0","0","512","612","417","660","786","772"
"28.04.2022 23:00 - 29.04.2022 00:00","0","0","0","508","600","328","660","767","767"
"29.04.2022 00:00 - 29.04.2022 01:00","2","N/A","0","494","N/A","391","783","N/A","720"
"29.04.2022 01:00 - 29.04.2022 02:00","1","N/A","0","401","N/A","377","746","N/A","700"
"29.04.2022 02:00 - 29.04.2022 03:00","0","N/A","0","420","N/A","350","738","N/A","685"
"29.04.2022 03:00 - 29.04.2022 04:00","0","N/A","0","468","N/A","376","730","N/A","655"
"29.04.2022 04:00 - 29.04.2022 05:00","0","N/A","0","464","N/A","284","722","N/A","622"
"29.04.2022 05:00 - 29.04.2022 06:00","1","N/A","1","488","N/A","338","669","N/A","544"
"29.04.2022 06:00 - 29.04.2022 07:00","47","N/A","40","530","N/A","307","641","N/A","462"
"29.04.2022 07:00 - 29.04.2022 08:00","189","N/A","156","527","N/A","283","589","N/A","385"
"29.04.2022 08:00 - 29.04.2022 09:00","386","323","323","533","199","192","543","364","364"
"29.04.2022 09:00 - 29.04.2022 10:00","579","522","501","466","233","177","526","405","450"
"29.04.2022 10:00 - 29.04.2022 11:00","734","695","604","454","252","319","562","473","461"
"29.04.2022 11:00 - 29.04.2022 12:00","827","789","692","449","290","405","607","520","436"
"29.04.2022 12:00 - 29.04.2022 13:00","860","821","718","434","253","446","613","555","457"
"29.04.2022 13:00 - 29.04.2022 14:00","860","810","695","424","259","474","643","609","677"
"29.04.2022 14:00 - 29.04.2022 15:00","816","771","712","409","281","449","670","649","843"
"29.04.2022 15:00 - 29.04.2022 16:00","743","708","632","432","317","454","714","710","984"
"29.04.2022 16:00 - 29.04.2022 17:00","628","619","587","380","309","444","685","669","955"
"29.04.2022 17:00 - 29.04.2022 18:00","472","489","467","387","338","410","714","690","1025"
"29.04.2022 18:00 - 29.04.2022 19:00","287","310","307","416","357","386","675","641","845"
"29.04.2022 19:00 - 29.04.2022 20:00","117","130","128","437","335","259","607","549","713"
"29.04.2022 20:00 - 29.04.2022 21:00","11","12","11","434","306","235","530","466","572"
"29.04.2022 21:00 - 29.04.2022 22:00","0","0","3","373","257","251","471","384","417"
"29.04.2022 22:00 - 29.04.2022 23:00","0","0","0","300","216","184","401","331","421"
"29.04.2022 23:00 - 30.04.2022 00:00","0","0","0","261","177","107","342","303","377"
"30.04.2022 00:00 - 30.04.2022 01:00","0","N/A","0","162","N/A","123","358","N/A","347"
"30.04.2022 01:00 - 30.04.2022 02:00","0","N/A","0","156","N/A","124","329","N/A","331"
"30.04.2022 02:00 - 30.04.2022 03:00","0","N/A","0","177","N/A","143","320","N/A","269"
"30.04.2022 03:00 - 30.04.2022 04:00","0","N/A","0","193","N/A","193","306","N/A","201"
"30.04.2022 04:00 - 30.04.2022 05:00","0","N/A","0","198","N/A","189","263","N/A","149"
"30.04.2022 05:00 - 30.04.2022 06:00","1","N/A","1","186","N/A","214","203","N/A","142"
"30.04.2022 06:00 - 30.04.2022 07:00","48","N/A","45","201","N/A","220","170","N/A","125"
"30.04.2022 07:00 - 30.04.2022 08:00","190","N/A","174","219","N/A","178","149","N/A","104"
"30.04.2022 08:00 - 30.04.2022 09:00","397","336","336","267","128","126","118","72","72"
"30.04.2022 09:00 - 30.04.2022 10:00","615","589","570","230","131","89","99","84","80"
"30.04.2022 10:00 - 30.04.2022 11:00","789","782","796","180","118","71","112","110","91"
"30.04.2022 11:00 - 30.04.2022 12:00","892","876","896","137","124","83","135","129","82"
"30.04.2022 12:00 - 30.04.2022 13:00","919","877","810","114","75","88","154","150","128"
"30.04.2022 13:00 - 30.04.2022 14:00","873","823","707","110","68","101","185","191","211"
"30.04.2022 14:00 - 30.04.2022 15:00","783","730","601","101","69","95","216","228","242"
"30.04.2022 15:00 - 30.04.2022 16:00","684","643","721","110","85","85","244","275","293"
"30.04.2022 16:00 - 30.04.2022 17:00","570","545","610","113","66","70","239","283","347"
"30.04.2022 17:00 - 30.04.2022 18:00","429","421","449","138","88","81","271","314","404"
"30.04.2022 18:00 - 30.04.2022 19:00","260","253","277","147","128","82","252","286","340"
"30.04.2022 19:00 - 30.04.2022 20:00","105","104","119","137","141","82","215","218","315"
"30.04.2022 20:00 - 30.04.2022 21:00","10","10","14","122","133","84","166","167","253"
"30.04.2022 21:00 - 30.04.2022 22:00","0","0","3","72","129","58","125","133","152"
"30.04.2022 22:00 - 30.04.2022 23:00","0","0","0","54","116","44","100","122","114"
"30.04.2022 23:00 - 01.05.2022 00:00","0","0","0","64","121","28","85","115","109"
"01.05.2022 00:00 - 01.05.2022 01:00","N/A","N/A","0","39","N/A","21","179","N/A","110"
"01.05.2022 01:00 - 01.05.2022 02:00","N/A","N/A","0","31","N/A","15","178","N/A","109"
"01.05.2022 02:00 - 01.05.2022 03:00","N/A","N/A","0","32","N/A","33","175","N/A","101"
"01.05.2022 03:00 - 01.05.2022 04:00","N/A","N/A","0","38","N/A","88","172","N/A","115"
"01.05.2022 04:00 - 01.05.2022 05:00","N/A","N/A","0","39","N/A","61","146","N/A","137"
"01.05.2022 05:00 - 01.05.2022 06:00","N/A","N/A","1","54","N/A","60","113","N/A","118"
"01.05.2022 06:00 - 01.05.2022 07:00","N/A","N/A","34","71","N/A","71","101","N/A","118"
"01.05.2022 07:00 - 01.05.2022 08:00","N/A","N/A","123","66","N/A","102","98","N/A","97"
"01.05.2022 08:00 - 01.05.2022 09:00","N/A","230","230","62","99","96","85","97","97"
"01.05.2022 09:00 - 01.05.2022 10:00","N/A","385","384","47","71","71","71","99","99"
"01.05.2022 10:00 - 01.05.2022 11:00","N/A","566","537","43","53","40","73","116","125"
"01.05.2022 11:00 - 01.05.2022 12:00","N/A","691","641","39","49","40","89","133","137"
"01.05.2022 12:00 - 01.05.2022 13:00","N/A","740","714","40","59","35","108","149","145"
"01.05.2022 13:00 - 01.05.2022 14:00","N/A","743","715","33","51","42","130","174","220"
"01.05.2022 14:00 - 01.05.2022 15:00","N/A","706","657","27","48","35","166","207","281"
"01.05.2022 15:00 - 01.05.2022 16:00","N/A","653","663","36","65","31","220","253","332"
"01.05.2022 16:00 - 01.05.2022 17:00","N/A","568","610","34","57","36","242","264","318"
"01.05.2022 17:00 - 01.05.2022 18:00","N/A","451","492","38","46","54","287","297","299"
"01.05.2022 18:00 - 01.05.2022 19:00","N/A","284","310","46","56","27","283","291","266"
"01.05.2022 19:00 - 01.05.2022 20:00","N/A","124","127","55","74","42","264","254","246"
"01.05.2022 20:00 - 01.05.2022 21:00","N/A","13","14","58","83","34","225","236","199"
"01.05.2022 21:00 - 01.05.2022 22:00","N/A","0","3","57","84","42","200","221","186"
"01.05.2022 22:00 - 01.05.2022 23:00","N/A","0","0","56","76","56","184","220","192"
"01.05.2022 23:00 - 02.05.2022 00:00","N/A","0","0","87","85","72","180","225","217"
"02.05.2022 00:00 - 02.05.2022 01:00","0","N/A","0","81","N/A","76","226","N/A","204"
"02.05.2022 01:00 - 02.05.2022 02:00","0","N/A","0","90","N/A","143","224","N/A","200"
"02.05.2022 02:00 - 02.05.2022 03:00","0","N/A","0","91","N/A","133","245","N/A","190"
"02.05.2022 03:00 - 02.05.2022 04:00","0","N/A","0","83","N/A","92","288","N/A","249"
"02.05.2022 04:00 - 02.05.2022 05:00","0","N/A","0","89","N/A","91","324","N/A","275"
"02.05.2022 05:00 - 02.05.2022 06:00","1","N/A","1","97","N/A","86","355","N/A","341"
"02.05.2022 06:00 - 02.05.2022 07:00","55","N/A","54","104","N/A","100","388","N/A","429"
"02.05.2022 07:00 - 02.05.2022 08:00","208","N/A","197","103","N/A","142","421","N/A","479"
"02.05.2022 08:00 - 02.05.2022 09:00","429","389","389","109","171","170","474","480","480"
"02.05.2022 09:00 - 02.05.2022 10:00","645","619","622","116","154","178","530","567","650"
"02.05.2022 10:00 - 02.05.2022 11:00","805","794","784","134","139","199","645","668","768"
"02.05.2022 11:00 - 02.05.2022 12:00","903","884","861","133","130","157","815","791","868"
"02.05.2022 12:00 - 02.05.2022 13:00","936","899","871","136","159","191","940","956","942"
"02.05.2022 13:00 - 02.05.2022 14:00","898","851","744","150","189","195","1088","1152","1147"
"02.05.2022 14:00 - 02.05.2022 15:00","797","733","692","211","245","277","1222","1251","1242"
"02.05.2022 15:00 - 02.05.2022 16:00","648","597","507","315","357","331","1392","1389","1548"
"02.05.2022 16:00 - 02.05.2022 17:00","481","456","354","391","414","435","1382","1416","1510"
"02.05.2022 17:00 - 02.05.2022 18:00","329","334","250","446","442","546","1487","1510","1555"
"02.05.2022 18:00 - 02.05.2022 19:00","181","192","134","521","545","623","1389","1350","1401"
"02.05.2022 19:00 - 02.05.2022 20:00","70","75","37","560","609","621","1289","1200","1410"
"02.05.2022 20:00 - 02.05.2022 21:00","6","7","2","596","652","706","1204","1098","1335"
"02.05.2022 21:00 - 02.05.2022 22:00","0","0","1","609","667","685","1129","1080","1276"
"02.05.2022 22:00 - 02.05.2022 23:00","0","0","0","592","652","676","1066","1036","1288"
"02.05.2022 23:00 - 03.05.2022 00:00","0","0","0","621","675","686","982","920","1252"
"03.05.2022 00:00 - 03.05.2022 01:00","0","N/A","0","656","N/A","818","938","N/A","1205"
"03.05.2022 01:00 - 03.05.2022 02:00","0","N/A","0","677","N/A","876","903","N/A","1141"
"03.05.2022 02:00 - 03.05.2022 03:00","0","N/A","0","733","N/A","898","871","N/A","954"
"03.05.2022 03:00 - 03.05.2022 04:00","0","N/A","0","739","N/A","877","824","N/A","866"
"03.05.2022 04:00 - 03.05.2022 05:00","0","N/A","0","709","N/A","817","765","N/A","793"
"03.05.2022 05:00 - 03.05.2022 06:00","2","N/A","2","592","N/A","774","700","N/A","792"
"03.05.2022 06:00 - 03.05.2022 07:00","68","N/A","70","550","N/A","644","635","N/A","762"
"03.05.2022 07:00 - 03.05.2022 08:00","241","N/A","243","485","N/A","425","553","N/A","706"
"03.05.2022 08:00 - 03.05.2022 09:00","456","403","403","478","261","254","499","625","625"
"03.05.2022 09:00 - 03.05.2022 10:00","652","630","582","432","288","274","454","574","692"
"03.05.2022 10:00 - 03.05.2022 11:00","810","812","799","393","201","256","417","518","547"
"03.05.2022 11:00 - 03.05.2022 12:00","917","934","933","305","194","213","390","472","451"
"03.05.2022 12:00 - 03.05.2022 13:00","974","1000","941","245","169","209","335","398","333"
"03.05.2022 13:00 - 03.05.2022 14:00","972","1014","939","237","180","250","318","348","336"
"03.05.2022 14:00 - 03.05.2022 15:00","912","973","870","265","218","235","311","326","386"
"03.05.2022 15:00 - 03.05.2022 16:00","810","860","802","320","242","223","343","372","466"
"03.05.2022 16:00 - 03.05.2022 17:00","677","674","635","376","308","247","371","376","474"
"03.05.2022 17:00 - 03.05.2022 18:00","496","490","465","422","391","267","413","426","463"
"03.05.2022 18:00 - 03.05.2022 19:00","297","295","300","426","441","207","381","399","386"
"03.05.2022 19:00 - 03.05.2022 20:00","128","126","133","406","466","223","362","352","389"
"03.05.2022 20:00 - 03.05.2022 21:00","14","13","25","379","443","303","321","296","265"
"03.05.2022 21:00 - 03.05.2022 22:00","0","0","2","369","397","242","278","246","211"
