"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"03.01.2022 12:00 - 03.01.2022 13:00","49","45","57","1014","974","1093","2776","2737","2877"
"03.01.2022 13:00 - 03.01.2022 14:00","40","39","39","1034","994","1072","2623","2654","2861"
"03.01.2022 14:00 - 03.01.2022 15:00","18","17","26","1022","1027","1105","2605","2642","2897"
"03.01.2022 15:00 - 03.01.2022 16:00","3","3","7","1059","1032","1104","2719","2757","3022"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0","1","1092","1042","1096","2601","2747","2944"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","0","1060","1061","1110","2244","2634","2967"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","0","854","1061","1099","1871","2356","2926"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","0","721","1070","1133","1541","1879","2295"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","0","632","967","951","1307","1513","1877"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","0","574","598","797","1154","1222","1423"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","0","526","410","611","1046","1030","1148"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","0","518","430","416","985","903","940"
"04.01.2022 00:00 - 04.01.2022 01:00","0","N/A","0","368","N/A","422","972","N/A","784"
"04.01.2022 01:00 - 04.01.2022 02:00","0","N/A","0","360","N/A","456","940","N/A","702"
"04.01.2022 02:00 - 04.01.2022 03:00","0","N/A","0","376","N/A","325","974","N/A","575"
"04.01.2022 03:00 - 04.01.2022 04:00","0","N/A","0","450","N/A","329","1013","N/A","572"
"04.01.2022 04:00 - 04.01.2022 05:00","0","N/A","0","472","N/A","354","1040","N/A","673"
"04.01.2022 05:00 - 04.01.2022 06:00","0","N/A","0","511","N/A","381","1064","N/A","707"
"04.01.2022 06:00 - 04.01.2022 07:00","0","N/A","0","622","N/A","408","1138","N/A","814"
"04.01.2022 07:00 - 04.01.2022 08:00","0","N/A","0","797","N/A","443","1238","N/A","914"
"04.01.2022 08:00 - 04.01.2022 09:00","0","0","0","965","540","537","1351","1012","1012"
"04.01.2022 09:00 - 04.01.2022 10:00","13","10","12","957","550","497","1414","1078","985"
"04.01.2022 10:00 - 04.01.2022 11:00","42","36","45","970","623","622","1380","1137","976"
"04.01.2022 11:00 - 04.01.2022 12:00","77","63","119","993","762","889","1448","1267","1071"
"04.01.2022 12:00 - 04.01.2022 13:00","90","79","152","975","862","943","1533","1399","1142"
"04.01.2022 13:00 - 04.01.2022 14:00","80","75","197","960","901","944","1496","1431","1057"
"04.01.2022 14:00 - 04.01.2022 15:00","47","50","130","1005","960","909","1492","1450","1258"
"04.01.2022 15:00 - 04.01.2022 16:00","14","14","24","1016","968","981","1451","1438","1439"
